2021-06-04T16:29:25.114Z [AUDIT] Token created by 'anonymous': tokenId='6d2011dd-438b-483f-ab53-faf1a961a898', issuer='jfrou@01f7bxpwt3bxgstp75wx9ybgem', subject='jfrou@01f7bxpwt3bxgstp75wx9ybgem', expiry=none, refreshable=false
2021-06-04T16:29:30.403Z [AUDIT] Token created by 'anonymous': tokenId='8bf2818f-8d47-40a0-a503-2e32fbd76062', issuer='jfac@01f7bxpcdnjjsh1zk5xct909a5', subject='jfac@01f7bxpcdnjjsh1zk5xct909a5', expiry=1622824290397, refreshable=false
2021-06-04T16:29:30.884Z [AUDIT] Token created by 'anonymous': tokenId='a60e2c32-05e7-4983-bfd6-3fd180fd3909', issuer='jfevt@01f7bxpcdnjjsh1zk5xct909a5', subject='jfevt@01f7bxpcdnjjsh1zk5xct909a5', expiry=none, refreshable=false
2021-06-04T16:29:30.909Z [AUDIT] Token created by 'anonymous': tokenId='44a6eab4-76f0-4912-96d5-c9078480a4f8', issuer='jfmd@01f7bxpxj0z6fsngmqwc1934rb', subject='jfmd@01f7bxpxj0z6fsngmqwc1934rb', expiry=none, refreshable=false
2021-06-04T16:29:31.131Z [AUDIT] Token created by 'jfevt@01f7bxpcdnjjsh1zk5xct909a5': tokenId='71f7345a-4d62-48a4-b916-9c9985f5a969', issuer='jfevt@01f7bxpcdnjjsh1zk5xct909a5', subject='jfevt@01f7bxpcdnjjsh1zk5xct909a5', expiry=1622910571118, refreshable=true
2021-06-04T16:29:31.148Z [AUDIT] Token created by 'jfevt@01f7bxpcdnjjsh1zk5xct909a5': tokenId='101e8aed-8cf1-4e0d-9cf0-c978495392d9', issuer='jfevt@01f7bxpcdnjjsh1zk5xct909a5', subject='jfevt@01f7bxpcdnjjsh1zk5xct909a5', expiry=1622910571122, refreshable=true
2021-06-04T16:29:31.151Z [AUDIT] Token created by 'jfevt@01f7bxpcdnjjsh1zk5xct909a5': tokenId='dd284715-3f77-42df-9e60-bc522ec1d0f5', issuer='jfevt@01f7bxpcdnjjsh1zk5xct909a5', subject='jfevt@01f7bxpcdnjjsh1zk5xct909a5', expiry=1622910571149, refreshable=true
2021-06-04T16:29:31.156Z [AUDIT] Token created by 'jfevt@01f7bxpcdnjjsh1zk5xct909a5': tokenId='ee8b725a-a0c6-48fe-8d2a-f6104ae46483', issuer='jfevt@01f7bxpcdnjjsh1zk5xct909a5', subject='jfevt@01f7bxpcdnjjsh1zk5xct909a5', expiry=1622910571123, refreshable=true
2021-06-04T16:29:58.756Z [AUDIT] Token created by 'anonymous': tokenId='30a9819b-bb00-4029-820e-1bd08579dd7e', issuer='jfrt@01f7bxr762s4dr1x224yxh1efc', subject='jfrt@01f7bxr762s4dr1x224yxh1efc', expiry=none, refreshable=false
2021-06-04T16:30:05.594Z [AUDIT] Token created by 'jfrt@01f7bxr762s4dr1x224yxh1efc': tokenId='79531c43-783a-4021-a9ce-6b575cc2794e', issuer='jfrt@01f7bxr762s4dr1x224yxh1efc', subject='jfrt@01f7bxr762s4dr1x224yxh1efc', expiry=2568904205587, refreshable=false
2021-06-04T16:30:11.647Z [AUDIT] Token created by 'jfrt@01f7bxr762s4dr1x224yxh1efc': tokenId='bda7f229-6617-4d46-87e2-4ee69f534fb2', issuer='jfrt@01f7bxr762s4dr1x224yxh1efc/users/_system_', subject='jfrt@01f7bxr762s4dr1x224yxh1efc/users/_system_', expiry=none, refreshable=false
2021-06-04T16:30:31.745Z [AUDIT] Token created by 'anonymous': tokenId='bfef0b7d-fca2-4858-ba6a-51bb2eae4172', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-06-04T16:30:31.989Z [AUDIT] Token created by 'jffe@000': tokenId='a7aee4aa-0dd0-442f-9c79-0056ea24a706', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622824831988, refreshable=false
2021-06-04T16:31:05.022Z [AUDIT] Token created by 'jffe@000': tokenId='e49d8b7b-91e6-4ffe-a164-9a87c915271c', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824865022, refreshable=false
2021-06-04T16:31:05.025Z [AUDIT] Token created by 'jffe@000': tokenId='f31a63c9-aad3-4941-8840-260900bbe9a7', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824865022, refreshable=false
2021-06-04T16:31:05.026Z [AUDIT] Token created by 'jffe@000': tokenId='eac103b0-c2ed-43ef-b648-d7b548e9125f', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824865026, refreshable=false
2021-06-04T16:31:05.033Z [AUDIT] Token created by 'jffe@000': tokenId='121fbcb4-312a-4932-a1c1-9d30b93559f7', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824865032, refreshable=false
2021-06-04T16:31:34.196Z [AUDIT] Token created by 'jfrt@01f7bxr762s4dr1x224yxh1efc': tokenId='26601e14-43de-48fe-bf45-a75f0fb63118', issuer='jfrt@01f7bxr762s4dr1x224yxh1efc', subject='jfrt@01f7bxr762s4dr1x224yxh1efc/users/admin', expiry=1625243494191, refreshable=false
2021-06-04T16:31:34.470Z [AUDIT] Token created by 'jffe@000': tokenId='fbcd3e38-e940-4cf3-95a9-b3d288a470e5', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826094458, refreshable=true
2021-06-04T16:31:34.745Z [AUDIT] Token created by 'jffe@000': tokenId='ee2a9815-2f24-48ad-8e50-28d63cc877b5', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824894745, refreshable=false
2021-06-04T16:31:34.746Z [AUDIT] Token created by 'jffe@000': tokenId='abef5cb2-060b-4e4a-87af-5ec880f5d7de', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824894745, refreshable=false
2021-06-04T16:31:34.750Z [AUDIT] Token created by 'jffe@000': tokenId='e2001ffe-4f6e-4a7a-a580-83be1657b31d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824894749, refreshable=false
2021-06-04T16:35:17.917Z [AUDIT] Token created by 'jffe@000': tokenId='503cf783-a29e-448b-83f6-bcfafc0722f4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826317910, refreshable=true
2021-06-04T16:35:18.086Z [AUDIT] Token created by 'jffe@000': tokenId='4a703211-a719-4192-adba-8159f4843e3d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825118086, refreshable=false
